Date,Verb,C1,Infinitive,C2,PresentTense,C3,PastTense,C4,PastParticiple,Percent
24/11/2020 00:00,Grill,,å grille,,griller,,grillte¨,,grillte,50
24/11/2020 00:00,Snow,,å snø,,snø,,snørte,,har snødd,50
24/11/2020 00:00,help,,å hjelpe,,hjelper,,hjelpte,,hjalp,50
25/11/2020 00:00,Discuss,,å diskuss,,diskuterer,,diskuterte,,diskurteret,50
25/11/2020 00:00,Pass (as in exam),,å pass,,å består,,bestør,,bestodde,0
01/03/2021 00:00,"be, feel",,å føle,,føler seg,,felte seg,,følet,25
01/03/2021 00:00,grip,,å grape,,griper,,grippte,,grepte,25
01/03/2021 00:00,rise,,å rise,,eser,,este,,eset,50
01/03/2021 00:00,"be found, exist",,å ble,,finner,,finde,,fint,0
01/03/2021 00:00,mount,,å moiunt,,beslår,,beslør,,beslodde,25
01/03/2021 00:00,purchase,,å kjøpe,,kjøper,,kjøpte,,kjøpet,75
01/03/2021 00:00,"tread, step",,å ser,,trer,,trete,,trådet,25
01/04/2021 00:00,earn,,å løne,,tjener,,tjente,,tjentt,50
01/04/2021 00:00,"enjoy, thrive",,å thrive,,triver,,tridde,,trivt,0
01/04/2021 00:00,move,,å mover,,flytter,,flutte,,flytt,25
01/04/2021 00:00,gape,,å gave,,gaper,,gapte,,gaptt,50
01/04/2021 00:00,"wait, expect",,å vente,,venter,,vent,,ventt,50
01/04/2021 00:00,sign,,å skrive,,underskriver,,underskrevte,,har underskrevte,25
01/04/2021 00:00,fall,,å fell,,faller,,fallte,,falt,25
01/04/2021 00:00,sign,,å underskrive,,underskriver,,underskrev,,har underskrevet,100
01/04/2021 00:00,bother,,å bother,,bryer,,bridde,,brydte,0
01/04/2021 00:00,fill,,å fille,,fyler,,fyllte,,fylet,0
01/04/2021 00:00,infect,,infection,,smitter,,smitet,,smite,25
01/05/2021 00:00,weigh,,å tunmp,,veier,,veste,,veidet,25
01/05/2021 00:00,mount,,å munn,,beslår,,beståte,,beslott,25
01/05/2021 00:00,dread,,å drømme,,gruer seg,,grued seg,,grud seg,25
01/05/2021 00:00,hug,,å hugge,,hugger,,huggte,,hugg,50
01/05/2021 00:00,sign,,å skrive,,overskriver,,overskrivte,,overskrevt,25
01/05/2021 00:00,crow,,crowe,,galer,,galte,,golt,25
01/05/2021 00:00,bleed,,å blå,,blør,,blørte,,blød,25
01/05/2021 00:00,dream,,å drømme,,drømmer,,drømte,,drømet,75
01/05/2021 00:00,"force, compel",,å force,,tvingler,,tvinglte,,tvangte,0
01/05/2021 00:00,crack,,å krakke,,knekker,,knekkte,,knak,25
01/05/2021 00:00,eat,,å spise,,spiser,,spiste,,har spist,100
01/06/2021 00:00,ride,,å ridd,,rir,,rirte,,redt,25
01/06/2021 00:00,meet/hit,,å møte,,freffer,,treffte,,trafft,0
01/06/2021 00:00,"be, exist",,å være,,bli,,va,,vart,25
01/06/2021 00:00,"operate, run",,å løppe,,driver,,drivte,,drevt,25
01/06/2021 00:00,sit,,å sitte,,sitter,,sitt,,satt,50
01/06/2021 00:00,employ,,å jobbe,,ansetter,,ansett,,har ansatt,50
01/06/2021 00:00,do,,å gjøre,,gjør,,gjørte,,har gjorte,50
01/06/2021 00:00,be,,å være,,bli,,blir,,har ble,0
01/06/2021 00:00,sit,,å sitte,,sitter,,satt,,har satt,75
01/07/2021 00:00,enjoy,,å like,,¨nyter,,nutte,,nyte,0
01/07/2021 00:00,"go, walk",,å go,,går,,gjore,,gikk,25
01/07/2021 00:00,write,,å skrive,,skriver,,skrivte,,skrevte,50
01/07/2021 00:00,ask,,å sporre,,ber,,berte,,har berte,25
01/07/2021 00:00,"operate, run",,å drive,,driver,,drivte,,har drått,50
01/07/2021 00:00,drink,,å drikke,,drikker,,drukk,,har drakk,50
01/07/2021 00:00,drop,,å drop,,slipper,,slippte,,har slapp,25
01/07/2021 00:00,sell,,å selge,,selger,,solgte,,har salgt,75
01/07/2021 00:00,ask,,å spørre,,sporrer,,spørte,,har spurt,50
01/07/2021 00:00,"operate, run",,å drive,,driver,,drev / dreiv,,har drev,75
01/07/2021 00:00,laugh,,å la,,ler,,ler,,har latt,25
01/07/2021 00:00,continue,,å go,,fortsette,,forsatt,,har forsatt,0
01/07/2021 00:00,ask,,å sporre,,ber,,ba,,har berte,50
01/07/2021 00:00,employ,,[,,p,,p,,p,0
01/07/2021 00:00,take,,å ta,,tar,,tatt,,har tokte,50
01/07/2021 00:00,employ,,å la,,ansetter,,ansatt,,har ansett,25
01/07/2021 00:00,interrupt,,å le,,avryter,,avbrytte,,har avbrytt,0
01/07/2021 00:00,"bear, carry",,s,,bærer,,bærte,,har bærte,25
01/07/2021 00:00,ask,,å sporre,,b er,,bedre,,har batt,0
01/07/2021 00:00,be,,å være,,blir,,blidr,,har blett,25
01/07/2021 00:00,"violate, break",,å brake,,bryter,,brytte,,har brytt,25
01/07/2021 00:00,drink,,å drikke,,drikker,,drikte,,har drikk,50
01/07/2021 00:00,"operate, run",,å drive,,driver,,drivte,,har drevt,50
01/07/2021 00:00,get/receive,,å gå,,får,,fidd,,har fikk,25
01/07/2021 00:00,find,,å finne,,finner,,finte,,har fanet,50
01/07/2021 00:00,prefer,,å,,foretrekker,,fortrakk,,har foretrakket,25
